Team,Result,Margin,BR,Toss,Bat,Opposition,Ground,Date
West Indies,won,7 wickets,143,lost,2nd,Sri Lanka,Brisbane,5-Jan-96
Sri Lanka,lost,7 wickets,143,won,1st,West Indies,Brisbane,5-Jan-96
West Indies,won,14 runs,0,lost,1st,Australia,Brisbane,7-Jan-96
Australia,lost,14 runs,0,won,2nd,West Indies,Brisbane,7-Jan-96
Sri Lanka,won,3 wickets,15,lost,2nd,Australia,Melbourne,9-Jan-96
Australia,lost,3 wickets,15,won,1st,Sri Lanka,Melbourne,9-Jan-96
South Africa,won,6 runs,0,won,1st,England,Cape Town,9-Jan-96
England,lost,6 runs,0,lost,2nd,South Africa,Cape Town,9-Jan-96
England,won,5 wickets,10,lost,2nd,South Africa,Bloemfontein,11-Jan-96
South Africa,lost,5 wickets,10,won,1st,England,Bloemfontein,11-Jan-96
Australia,won,83 runs,0,won,1st,Sri Lanka,Perth,12-Jan-96
Sri Lanka,lost,83 runs,0,lost,2nd,Australia,Perth,12-Jan-96
South Africa,won,3 wickets,11,lost,2nd,England,Johannesburg,13-Jan-96
England,lost,3 wickets,11,won,1st,South Africa,Johannesburg,13-Jan-96
Sri Lanka,won,16 runs,0,lost,1st,West Indies,Perth,14-Jan-96
West Indies,lost,16 runs,0,won,2nd,Sri Lanka,Perth,14-Jan-96
South Africa,won,7 wickets,12,lost,2nd,England,Centurion,14-Jan-96
England,lost,7 wickets,12,won,1st,South Africa,Centurion,14-Jan-96
Sri Lanka,won,3 wickets,2,lost,2nd,Australia,Melbourne,16-Jan-96
Australia,lost,3 wickets,2,won,1st,Sri Lanka,Melbourne,16-Jan-96
South Africa,won,5 wickets,10,won,2nd,England,Durban,17-Jan-96
England,lost,5 wickets,10,lost,1st,South Africa,Durban,17-Jan-96
Australia,won,18 runs,0,lost,1st,Sri Lanka,Melbourne,18-Jan-96
Sri Lanka,lost,18 runs,0,won,2nd,Australia,Melbourne,18-Jan-96
South Africa,won,14 runs,0,won,1st,England,East London,19-Jan-96
England,lost,14 runs,0,lost,2nd,South Africa,East London,19-Jan-96
Australia,won,9 runs,0,lost,1st,Sri Lanka,Sydney,20-Jan-96
Sri Lanka,lost,9 runs,0,won,2nd,Australia,Sydney,20-Jan-96
South Africa,won,64 runs,0,won,1st,England,Port Elizabeth,21-Jan-96
England,lost,64 runs,0,lost,2nd,South Africa,Port Elizabeth,21-Jan-96
New Zealand,won,11 runs,0,lost,1st,England,Ahmedabad,14-Feb-96
England,lost,11 runs,0,won,2nd,New Zealand,Ahmedabad,14-Feb-96
South Africa,won,5 wickets,75,lost,2nd,New Zealand,Faisalabad,20-Feb-96
New Zealand,lost,5 wickets,75,won,1st,South Africa,Faisalabad,20-Feb-96
India,won,5 wickets,62,lost,2nd,West Indies,Gwalior,21-Feb-96
West Indies,lost,5 wickets,62,won,1st,India,Gwalior,21-Feb-96
South Africa,won,78 runs,0,won,1st,England,Rawalpindi,25-Feb-96
England,lost,78 runs,0,lost,2nd,South Africa,Rawalpindi,25-Feb-96
Australia,won,16 runs,0,won,1st,India,Mumbai,27-Feb-96
India,lost,16 runs,0,lost,2nd,Australia,Mumbai,27-Feb-96
South Africa,won,5 wickets,34,lost,2nd,Pakistan,Karachi,29-Feb-96
Pakistan,lost,5 wickets,34,won,1st,South Africa,Karachi,29-Feb-96
Sri Lanka,won,6 wickets,8,won,2nd,India,Delhi,2-Mar-96
India,lost,6 wickets,8,lost,1st,Sri Lanka,Delhi,2-Mar-96
Pakistan,won,7 wickets,14,lost,2nd,England,Karachi,3-Mar-96
England,lost,7 wickets,14,won,1st,Pakistan,Karachi,3-Mar-96
West Indies,won,4 wickets,7,lost,2nd,Australia,Jaipur,4-Mar-96
Australia,lost,4 wickets,7,won,1st,West Indies,Jaipur,4-Mar-96
Pakistan,won,46 runs,0,lost,1st,New Zealand,Lahore,6-Mar-96
New Zealand,lost,46 runs,0,won,2nd,Pakistan,Lahore,6-Mar-96
Sri Lanka,won,5 wickets,56,lost,2nd,England,Faisalabad,9-Mar-96
England,lost,5 wickets,56,won,1st,Sri Lanka,Faisalabad,9-Mar-96
India,won,39 runs,0,won,1st,Pakistan,Bangalore,9-Mar-96
Pakistan,lost,39 runs,0,lost,2nd,India,Bangalore,9-Mar-96
West Indies,won,19 runs,0,won,1st,South Africa,Karachi,11-Mar-96
South Africa,lost,19 runs,0,lost,2nd,West Indies,Karachi,11-Mar-96
Australia,won,6 wickets,13,lost,2nd,New Zealand,Chennai,11-Mar-96
New Zealand,lost,6 wickets,13,won,1st,Australia,Chennai,11-Mar-96
Sri Lanka,won,,0,lost,1st,India,Kolkata,13-Mar-96
India,lost,,0,won,2nd,Sri Lanka,Kolkata,13-Mar-96
Australia,won,5 runs,0,won,1st,West Indies,Mohali,14-Mar-96
West Indies,lost,5 runs,0,lost,2nd,Australia,Mohali,14-Mar-96
Sri Lanka,won,7 wickets,22,won,2nd,Australia,Lahore,17-Mar-96
Australia,lost,7 wickets,22,lost,1st,Sri Lanka,Lahore,17-Mar-96
West Indies,won,1 wickets,5,won,2nd,New Zealand,Kingston,26-Mar-96
New Zealand,lost,1 wickets,5,lost,1st,West Indies,Kingston,26-Mar-96
New Zealand,won,4 wickets,1,won,2nd,West Indies,Port of Spain,29-Mar-96
West Indies,lost,4 wickets,1,lost,1st,New Zealand,Port of Spain,29-Mar-96
West Indies,won,7 wickets,26,lost,2nd,New Zealand,Port of Spain,30-Mar-96
New Zealand,lost,7 wickets,26,won,1st,West Indies,Port of Spain,30-Mar-96
Sri Lanka,won,34 runs,0,lost,1st,Pakistan,Singapore,2-Apr-96
Pakistan,lost,34 runs,0,won,2nd,Sri Lanka,Singapore,2-Apr-96
India,won,12 runs,0,won,1st,Sri Lanka,Singapore,3-Apr-96
Sri Lanka,lost,12 runs,0,lost,2nd,India,Singapore,3-Apr-96
New Zealand,won,4 runs,0,lost,1st,West Indies,Georgetown,3-Apr-96
West Indies,lost,4 runs,0,won,2nd,New Zealand,Georgetown,3-Apr-96
Pakistan,won,8 wickets,30,won,2nd,India,Singapore,5-Apr-96
India,lost,8 wickets,30,lost,1st,Pakistan,Singapore,5-Apr-96
West Indies,won,7 wickets,9,won,2nd,New Zealand,Kingstown,6-Apr-96
New Zealand,lost,7 wickets,9,lost,1st,West Indies,Kingstown,6-Apr-96
Pakistan,won,43 runs,0,lost,1st,Sri Lanka,Singapore,7-Apr-96
Sri Lanka,lost,43 runs,0,won,2nd,Pakistan,Singapore,7-Apr-96
Pakistan,won,38 runs,0,lost,1st,India,Sharjah,12-Apr-96
India,lost,38 runs,0,won,2nd,Pakistan,Sharjah,12-Apr-96
South Africa,won,143 runs,0,won,1st,Pakistan,Sharjah,13-Apr-96
Pakistan,lost,143 runs,0,lost,2nd,South Africa,Sharjah,13-Apr-96
Sri Lanka,won,35 runs,0,won,1st,West Indies,Port of Spain,13-Apr-96
West Indies,lost,35 runs,0,lost,2nd,Sri Lanka,Port of Spain,13-Apr-96
South Africa,won,80 runs,0,won,1st,India,Sharjah,14-Apr-96
India,lost,80 runs,0,lost,2nd,South Africa,Sharjah,14-Apr-96
India,won,28 runs,0,won,1st,Pakistan,Sharjah,15-Apr-96
Pakistan,lost,28 runs,0,lost,2nd,India,Sharjah,15-Apr-96
South Africa,won,8 wickets,101,lost,2nd,Pakistan,Sharjah,16-Apr-96
Pakistan,lost,8 wickets,101,won,1st,South Africa,Sharjah,16-Apr-96
South Africa,won,5 wickets,17,lost,2nd,India,Sharjah,17-Apr-96
India,lost,5 wickets,17,won,1st,South Africa,Sharjah,17-Apr-96
South Africa,won,38 runs,0,won,1st,India,Sharjah,19-Apr-96
India,lost,38 runs,0,lost,2nd,South Africa,Sharjah,19-Apr-96
England,won,6 wickets,15,won,2nd,India,Leeds,25-May-96
India,lost,6 wickets,15,lost,1st,England,Leeds,25-May-96
England,won,4 wickets,7,lost,2nd,India,Manchester,26-May-96
India,lost,4 wickets,7,won,1st,England,Manchester,26-May-96
Sri Lanka,won,9 wickets,34,lost,2nd,India,Colombo (RPS),28-Aug-96
India,lost,9 wickets,34,won,1st,Sri Lanka,Colombo (RPS),28-Aug-96
England,won,5 wickets,20,lost,2nd,Pakistan,Manchester,29-Aug-96
Pakistan,lost,5 wickets,20,won,1st,England,Manchester,29-Aug-96
Sri Lanka,won,4 wickets,25,lost,2nd,Australia,Colombo (RPS),30-Aug-96
Australia,lost,4 wickets,25,won,1st,Sri Lanka,Colombo (RPS),30-Aug-96
England,won,107 runs,0,lost,1st,Pakistan,Birmingham,31-Aug-96
Pakistan,lost,107 runs,0,won,2nd,England,Birmingham,31-Aug-96
Pakistan,won,2 wickets,2,lost,2nd,England,Nottingham,1-Sep-96
England,lost,2 wickets,2,won,1st,Pakistan,Nottingham,1-Sep-96
Australia,won,3 wickets,3,won,2nd,India,Colombo (SSC),6-Sep-96
India,lost,3 wickets,3,lost,1st,Australia,Colombo (SSC),6-Sep-96
Sri Lanka,won,50 runs,0,lost,1st,Australia,Colombo (RPS),7-Sep-96
Australia,lost,50 runs,0,won,2nd,Sri Lanka,Colombo (RPS),7-Sep-96
India,won,8 wickets,19,won,2nd,Pakistan,Toronto,16-Sep-96
Pakistan,lost,8 wickets,19,lost,1st,India,Toronto,16-Sep-96
Pakistan,won,2 wickets,1,won,2nd,India,Toronto,17-Sep-96
India,lost,2 wickets,1,lost,1st,Pakistan,Toronto,17-Sep-96
India,won,55 runs,0,won,1st,Pakistan,Toronto,18-Sep-96
Pakistan,lost,55 runs,0,lost,2nd,India,Toronto,18-Sep-96
Pakistan,won,97 runs,0,lost,1st,India,Toronto,21-Sep-96
India,lost,97 runs,0,won,2nd,Pakistan,Toronto,21-Sep-96
Pakistan,won,52 runs,0,won,1st,India,Toronto,23-Sep-96
India,lost,52 runs,0,lost,2nd,Pakistan,Toronto,23-Sep-96
South Africa,won,62 runs,0,lost,1st,Pakistan,Nairobi (Gym),29-Sep-96
Pakistan,lost,62 runs,0,won,2nd,South Africa,Nairobi (Gym),29-Sep-96
Sri Lanka,won,2 wickets,56,lost,2nd,South Africa,Nairobi (Club),1-Oct-96
South Africa,lost,2 wickets,56,won,1st,Sri Lanka,Nairobi (Club),1-Oct-96
Pakistan,won,82 runs,0,lost,1st,Sri Lanka,Nairobi (Gym),4-Oct-96
Sri Lanka,lost,82 runs,0,won,2nd,Pakistan,Nairobi (Gym),4-Oct-96
South Africa,won,7 wickets,64,lost,2nd,Pakistan,Nairobi (Gym),6-Oct-96
Pakistan,lost,7 wickets,64,won,1st,South Africa,Nairobi (Gym),6-Oct-96
South Africa,won,47 runs,0,won,1st,India,Hyderabad (Deccan),17-Oct-96
India,lost,47 runs,0,lost,2nd,South Africa,Hyderabad (Deccan),17-Oct-96
South Africa,won,7 wickets,23,lost,2nd,Australia,Indore,19-Oct-96
Australia,lost,7 wickets,23,won,1st,South Africa,Indore,19-Oct-96
India,won,2 wickets,7,lost,2nd,Australia,Bangalore,21-Oct-96
Australia,lost,2 wickets,7,won,1st,India,Bangalore,21-Oct-96
South Africa,won,27 runs,0,lost,1st,India,Jaipur,23-Oct-96
India,lost,27 runs,0,won,2nd,South Africa,Jaipur,23-Oct-96
South Africa,won,2 wickets,16,lost,2nd,Australia,Faridabad,25-Oct-96
Australia,lost,2 wickets,16,won,1st,South Africa,Faridabad,25-Oct-96
South Africa,won,5 wickets,8,lost,2nd,India,Rajkot,29-Oct-96
India,lost,5 wickets,8,won,1st,South Africa,Rajkot,29-Oct-96
South Africa,won,8 wickets,30,lost,2nd,Australia,Guwahati,1-Nov-96
Australia,lost,8 wickets,30,won,1st,South Africa,Guwahati,1-Nov-96
India,won,5 runs,0,lost,1st,Australia,Mohali,3-Nov-96
Australia,lost,5 runs,0,won,2nd,India,Mohali,3-Nov-96
India,won,35 runs,0,won,1st,South Africa,Mumbai,6-Nov-96
South Africa,lost,35 runs,0,lost,2nd,India,Mumbai,6-Nov-96
New Zealand,won,29 runs,0,lost,1st,Sri Lanka,Sharjah,7-Nov-96
Sri Lanka,lost,29 runs,0,won,2nd,New Zealand,Sharjah,7-Nov-96
Sri Lanka,won,75 runs,0,lost,1st,Pakistan,Sharjah,8-Nov-96
Pakistan,lost,75 runs,0,won,2nd,Sri Lanka,Sharjah,8-Nov-96
Pakistan,won,4 wickets,21,lost,2nd,New Zealand,Sharjah,10-Nov-96
New Zealand,lost,4 wickets,21,won,1st,Pakistan,Sharjah,10-Nov-96
New Zealand,tied,-,0,won,1st,Sri Lanka,Sharjah,11-Nov-96
Sri Lanka,tied,-,0,lost,2nd,New Zealand,Sharjah,11-Nov-96
Pakistan,won,8 wickets,20,lost,2nd,Sri Lanka,Sharjah,12-Nov-96
Sri Lanka,lost,8 wickets,20,won,1st,Pakistan,Sharjah,12-Nov-96
Pakistan,won,4 wickets,9,won,2nd,New Zealand,Sharjah,13-Nov-96
New Zealand,lost,4 wickets,9,lost,1st,Pakistan,Sharjah,13-Nov-96
Pakistan,won,41 runs,0,lost,1st,New Zealand,Sharjah,15-Nov-96
New Zealand,lost,41 runs,0,won,2nd,Pakistan,Sharjah,15-Nov-96
Pakistan,won,11 runs,0,won,1st,New Zealand,Gujranwala,4-Dec-96
New Zealand,lost,11 runs,0,lost,2nd,Pakistan,Gujranwala,4-Dec-96
Australia,won,5 wickets,8,lost,2nd,West Indies,Melbourne,6-Dec-96
West Indies,lost,5 wickets,8,won,1st,Australia,Melbourne,6-Dec-96
Pakistan,won,46 runs,0,won,1st,New Zealand,Sialkot,6-Dec-96
New Zealand,lost,46 runs,0,lost,2nd,Pakistan,Sialkot,6-Dec-96
Australia,won,8 wickets,48,lost,2nd,West Indies,Sydney,8-Dec-96
West Indies,lost,8 wickets,48,won,1st,Australia,Sydney,8-Dec-96
New Zealand,won,7 wickets,29,lost,2nd,Pakistan,Karachi,8-Dec-96
Pakistan,lost,7 wickets,29,won,1st,New Zealand,Karachi,8-Dec-96
India,won,74 runs,0,won,1st,South Africa,Mumbai,14-Dec-96
South Africa,lost,74 runs,0,lost,2nd,India,Mumbai,14-Dec-96
Pakistan,won,12 runs,0,won,1st,Australia,Adelaide,15-Dec-96
Australia,lost,12 runs,0,lost,2nd,Pakistan,Adelaide,15-Dec-96
West Indies,won,7 wickets,83,won,2nd,Pakistan,Adelaide,17-Dec-96
Pakistan,lost,7 wickets,83,lost,1st,West Indies,Adelaide,17-Dec-96
Pakistan,won,4 wickets,27,lost,2nd,Australia,Sydney,1-Jan-97
Australia,lost,4 wickets,27,won,1st,Pakistan,Sydney,1-Jan-97
West Indies,won,6 wickets,11,won,2nd,Pakistan,Brisbane,3-Jan-97
Pakistan,lost,6 wickets,11,lost,1st,West Indies,Brisbane,3-Jan-97
West Indies,won,7 wickets,7,lost,2nd,Australia,Brisbane,5-Jan-97
Australia,lost,7 wickets,7,won,1st,West Indies,Brisbane,5-Jan-97
Pakistan,won,29 runs,0,won,1st,Australia,Hobart,7-Jan-97
Australia,lost,29 runs,0,lost,2nd,Pakistan,Hobart,7-Jan-97
West Indies,won,5 wickets,8,won,2nd,Pakistan,Perth,10-Jan-97
Pakistan,lost,5 wickets,8,lost,1st,West Indies,Perth,10-Jan-97
West Indies,won,4 wickets,4,lost,2nd,Australia,Perth,12-Jan-97
Australia,lost,4 wickets,4,won,1st,West Indies,Perth,12-Jan-97
Pakistan,won,8 wickets,64,won,2nd,West Indies,Sydney,14-Jan-97
West Indies,lost,8 wickets,64,lost,1st,Pakistan,Sydney,14-Jan-97
Australia,won,3 wickets,3,lost,2nd,Pakistan,Melbourne,16-Jan-97
Pakistan,lost,3 wickets,3,won,1st,Australia,Melbourne,16-Jan-97
Pakistan,won,4 wickets,70,won,2nd,West Indies,Sydney,18-Jan-97
West Indies,lost,4 wickets,70,lost,1st,Pakistan,Sydney,18-Jan-97
Pakistan,won,62 runs,0,won,1st,West Indies,Melbourne,20-Jan-97
West Indies,lost,62 runs,0,lost,2nd,Pakistan,Melbourne,20-Jan-97
South Africa,won,39 runs,0,won,1st,India,Bloemfontein,23-Jan-97
India,lost,39 runs,0,lost,2nd,South Africa,Bloemfontein,23-Jan-97
South Africa,won,6 wickets,29,lost,2nd,India,Port Elizabeth,2-Feb-97
India,lost,6 wickets,29,won,1st,South Africa,Port Elizabeth,2-Feb-97
South Africa,won,6 wickets,4,lost,2nd,India,East London,4-Feb-97
India,lost,6 wickets,4,won,1st,South Africa,East London,4-Feb-97
South Africa,won,17 runs,0,won,1st,India,Durban,13-Feb-97
India,lost,17 runs,0,lost,2nd,South Africa,Durban,13-Feb-97
England,won,4 wickets,7,lost,2nd,New Zealand,Christchurch,20-Feb-97
New Zealand,lost,4 wickets,7,won,1st,England,Christchurch,20-Feb-97
England,won,6 wickets,39,lost,2nd,New Zealand,Auckland,23-Feb-97
New Zealand,lost,6 wickets,39,won,1st,England,Auckland,23-Feb-97
England,tied,-,0,lost,2nd,New Zealand,Napier,26-Feb-97
New Zealand,tied,-,0,won,1st,England,Napier,26-Feb-97
New Zealand,won,9 runs,0,lost,1st,England,Auckland,2-Mar-97
England,lost,9 runs,0,won,2nd,New Zealand,Auckland,2-Mar-97
New Zealand,won,28 runs,0,won,1st,England,Wellington,4-Mar-97
England,lost,28 runs,0,lost,2nd,New Zealand,Wellington,4-Mar-97
Sri Lanka,won,6 wickets,85,won,2nd,New Zealand,Christchurch,25-Mar-97
New Zealand,lost,6 wickets,85,lost,1st,Sri Lanka,Christchurch,25-Mar-97
New Zealand,won,69 runs,0,lost,1st,Sri Lanka,Wellington,27-Mar-97
Sri Lanka,lost,69 runs,0,won,2nd,New Zealand,Wellington,27-Mar-97
South Africa,won,6 wickets,18,won,2nd,Australia,East London,29-Mar-97
Australia,lost,6 wickets,18,lost,1st,South Africa,East London,29-Mar-97
Australia,won,7 wickets,30,won,2nd,South Africa,Port Elizabeth,31-Mar-97
South Africa,lost,7 wickets,30,lost,1st,Australia,Port Elizabeth,31-Mar-97
South Africa,won,46 runs,0,lost,1st,Australia,Cape Town,2-Apr-97
Australia,lost,46 runs,0,won,2nd,South Africa,Cape Town,2-Apr-97
Sri Lanka,won,19 runs,0,lost,1st,Pakistan,Sharjah,4-Apr-97
Pakistan,lost,19 runs,0,won,2nd,Sri Lanka,Sharjah,4-Apr-97
Australia,won,15 runs,0,won,1st,South Africa,Durban,5-Apr-97
South Africa,lost,15 runs,0,lost,2nd,Australia,Durban,5-Apr-97
Sri Lanka,won,51 runs,0,won,1st,Pakistan,Sharjah,7-Apr-97
Pakistan,lost,51 runs,0,lost,2nd,Sri Lanka,Sharjah,7-Apr-97
Australia,won,8 runs,0,won,1st,South Africa,Johannesburg,8-Apr-97
South Africa,lost,8 runs,0,lost,2nd,Australia,Johannesburg,8-Apr-97
Australia,won,5 wickets,6,lost,2nd,South Africa,Centurion,10-Apr-97
South Africa,lost,5 wickets,6,won,1st,Australia,Centurion,10-Apr-97
Sri Lanka,won,4 wickets,4,lost,2nd,Pakistan,Sharjah,11-Apr-97
Pakistan,lost,4 wickets,4,won,1st,Sri Lanka,Sharjah,11-Apr-97
South Africa,won,109 runs,0,lost,1st,Australia,Bloemfontein,13-Apr-97
Australia,lost,109 runs,0,won,2nd,South Africa,Bloemfontein,13-Apr-97
West Indies,won,8 wickets,31,lost,2nd,India,Port of Spain,26-Apr-97
India,lost,8 wickets,31,won,1st,West Indies,Port of Spain,26-Apr-97
India,won,10 wickets,101,won,2nd,West Indies,Port of Spain,27-Apr-97
West Indies,lost,10 wickets,101,lost,1st,India,Port of Spain,27-Apr-97
West Indies,won,18 runs,0,lost,1st,India,Kingstown,30-Apr-97
India,lost,18 runs,0,won,2nd,West Indies,Kingstown,30-Apr-97
West Indies,won,10 wickets,32,won,2nd,India,Bridgetown,3-May-97
India,lost,10 wickets,32,lost,1st,West Indies,Bridgetown,3-May-97
New Zealand,won,22 runs,0,lost,1st,Pakistan,Mohali,9-May-97
Pakistan,lost,22 runs,0,won,2nd,New Zealand,Mohali,9-May-97
Pakistan,won,30 runs,0,won,1st,Sri Lanka,Gwalior,12-May-97
Sri Lanka,lost,30 runs,0,lost,2nd,Pakistan,Gwalior,12-May-97
India,won,8 wickets,45,lost,2nd,New Zealand,Bangalore,14-May-97
New Zealand,lost,8 wickets,45,won,1st,India,Bangalore,14-May-97
Sri Lanka,won,5 wickets,55,lost,2nd,India,Mumbai,17-May-97
India,lost,5 wickets,55,won,1st,Sri Lanka,Mumbai,17-May-97
Sri Lanka,won,52 runs,0,won,1st,New Zealand,Hyderabad (Deccan),20-May-97
New Zealand,lost,52 runs,0,lost,2nd,Sri Lanka,Hyderabad (Deccan),20-May-97
Pakistan,won,35 runs,0,won,1st,India,Chennai,21-May-97
India,lost,35 runs,0,lost,2nd,Pakistan,Chennai,21-May-97
England,won,6 wickets,59,won,2nd,Australia,Leeds,22-May-97
Australia,lost,6 wickets,59,lost,1st,England,Leeds,22-May-97
England,won,6 wickets,10,won,2nd,Australia,The Oval,24-May-97
Australia,lost,6 wickets,10,lost,1st,England,The Oval,24-May-97
Sri Lanka,won,115 runs,0,won,1st,Pakistan,Mohali,24-May-97
Pakistan,lost,115 runs,0,lost,2nd,Sri Lanka,Mohali,24-May-97
England,won,6 wickets,6,won,2nd,Australia,Lord's,25-May-97
Australia,lost,6 wickets,6,lost,1st,England,Lord's,25-May-97
Sri Lanka,won,85 runs,0,won,1st,Pakistan,Kolkata,27-May-97
Pakistan,lost,85 runs,0,lost,2nd,Sri Lanka,Kolkata,27-May-97
West Indies,won,35 runs,0,lost,1st,Sri Lanka,Port of Spain,6-Jun-97
Sri Lanka,lost,35 runs,0,won,2nd,West Indies,Port of Spain,6-Jun-97
Sri Lanka,won,15 runs,0,lost,1st,Pakistan,Colombo (RPS),14-Jul-97
Pakistan,lost,15 runs,0,won,2nd,Sri Lanka,Colombo (RPS),14-Jul-97
Sri Lanka,won,6 wickets,32,won,2nd,India,Colombo (RPS),18-Jul-97
India,lost,6 wickets,32,lost,1st,Sri Lanka,Colombo (RPS),18-Jul-97
Sri Lanka,won,8 wickets,79,lost,2nd,India,Colombo (RPS),26-Jul-97
India,lost,8 wickets,79,won,1st,Sri Lanka,Colombo (RPS),26-Jul-97
Sri Lanka,won,2 runs,0,lost,1st,India,Colombo (RPS),17-Aug-97
India,lost,2 runs,0,won,2nd,Sri Lanka,Colombo (RPS),17-Aug-97
Sri Lanka,won,7 wickets,49,won,2nd,India,Colombo (RPS),20-Aug-97
India,lost,7 wickets,49,lost,1st,Sri Lanka,Colombo (RPS),20-Aug-97
Sri Lanka,won,9 runs,0,lost,1st,India,Colombo (SSC),24-Aug-97
India,lost,9 runs,0,won,2nd,Sri Lanka,Colombo (SSC),24-Aug-97
India,won,20 runs,0,lost,1st,Pakistan,Toronto,13-Sep-97
Pakistan,lost,20 runs,0,won,2nd,India,Toronto,13-Sep-97
India,won,7 wickets,92,lost,2nd,Pakistan,Toronto,14-Sep-97
Pakistan,lost,7 wickets,92,won,1st,India,Toronto,14-Sep-97
India,won,34 runs,0,lost,1st,Pakistan,Toronto,18-Sep-97
Pakistan,lost,34 runs,0,won,2nd,India,Toronto,18-Sep-97
India,won,7 wickets,3,won,2nd,Pakistan,Toronto,20-Sep-97
Pakistan,lost,7 wickets,3,lost,1st,India,Toronto,20-Sep-97
Pakistan,won,5 wickets,37,won,2nd,India,Toronto,21-Sep-97
India,lost,5 wickets,37,lost,1st,Pakistan,Toronto,21-Sep-97
Pakistan,won,5 wickets,33,lost,2nd,India,Hyderabad (Sind),28-Sep-97
India,lost,5 wickets,33,won,1st,Pakistan,Hyderabad (Sind),28-Sep-97
India,won,4 wickets,3,lost,2nd,Pakistan,Karachi,30-Sep-97
Pakistan,lost,4 wickets,3,won,1st,India,Karachi,30-Sep-97
Pakistan,won,9 wickets,136,won,2nd,India,Lahore,2-Oct-97
India,lost,9 wickets,136,lost,1st,Pakistan,Lahore,2-Oct-97
Sri Lanka,won,7 wickets,62,won,2nd,West Indies,Lahore,1-Nov-97
West Indies,lost,7 wickets,62,lost,1st,Sri Lanka,Lahore,1-Nov-97
South Africa,won,9 runs,0,lost,1st,Pakistan,Lahore,2-Nov-97
Pakistan,lost,9 runs,0,won,2nd,South Africa,Lahore,2-Nov-97
South Africa,won,5 wickets,11,won,2nd,West Indies,Lahore,3-Nov-97
West Indies,lost,5 wickets,11,lost,1st,South Africa,Lahore,3-Nov-97
Pakistan,won,8 wickets,56,won,2nd,West Indies,Lahore,4-Nov-97
West Indies,lost,8 wickets,56,lost,1st,Pakistan,Lahore,4-Nov-97
Sri Lanka,won,8 wickets,60,won,2nd,Pakistan,Lahore,5-Nov-97
Pakistan,lost,8 wickets,60,lost,1st,Sri Lanka,Lahore,5-Nov-97
South Africa,won,66 runs,0,lost,1st,Sri Lanka,Lahore,6-Nov-97
Sri Lanka,lost,66 runs,0,won,2nd,South Africa,Lahore,6-Nov-97
South Africa,won,4 wickets,56,won,2nd,Sri Lanka,Lahore,8-Nov-97
Sri Lanka,lost,4 wickets,56,lost,1st,South Africa,Lahore,8-Nov-97
South Africa,won,67 runs,0,won,1st,Australia,Sydney,4-Dec-97
Australia,lost,67 runs,0,lost,2nd,South Africa,Sydney,4-Dec-97
New Zealand,won,47 runs,0,lost,1st,South Africa,Adelaide,6-Dec-97
South Africa,lost,47 runs,0,won,2nd,New Zealand,Adelaide,6-Dec-97
Australia,won,3 wickets,2,lost,2nd,New Zealand,Adelaide,7-Dec-97
New Zealand,lost,3 wickets,2,won,1st,Australia,Adelaide,7-Dec-97
South Africa,won,45 runs,0,won,1st,Australia,Melbourne,9-Dec-97
Australia,lost,45 runs,0,lost,2nd,South Africa,Melbourne,9-Dec-97
South Africa,won,1 runs,0,won,1st,New Zealand,Hobart,11-Dec-97
New Zealand,lost,1 runs,0,lost,2nd,South Africa,Hobart,11-Dec-97
England,won,7 runs,0,lost,1st,India,Sharjah,11-Dec-97
India,lost,7 runs,0,won,2nd,England,Sharjah,11-Dec-97
West Indies,won,43 runs,0,won,1st,Pakistan,Sharjah,12-Dec-97
Pakistan,lost,43 runs,0,lost,2nd,West Indies,Sharjah,12-Dec-97
England,won,4 wickets,25,lost,2nd,West Indies,Sharjah,13-Dec-97
West Indies,lost,4 wickets,25,won,1st,England,Sharjah,13-Dec-97
Pakistan,won,4 wickets,16,lost,2nd,India,Sharjah,14-Dec-97
India,lost,4 wickets,16,won,1st,Pakistan,Sharjah,14-Dec-97
England,won,8 runs,0,won,1st,Pakistan,Sharjah,15-Dec-97
Pakistan,lost,8 runs,0,lost,2nd,England,Sharjah,15-Dec-97
West Indies,won,41 runs,0,lost,1st,India,Sharjah,16-Dec-97
India,lost,41 runs,0,won,2nd,West Indies,Sharjah,16-Dec-97
Australia,won,6 wickets,67,lost,2nd,New Zealand,Melbourne,17-Dec-97
New Zealand,lost,6 wickets,67,won,1st,Australia,Melbourne,17-Dec-97
England,won,3 wickets,11,lost,2nd,West Indies,Sharjah,19-Dec-97
West Indies,lost,3 wickets,11,won,1st,England,Sharjah,19-Dec-97
India,won,7 wickets,31,won,2nd,Sri Lanka,Guwahati,22-Dec-97
Sri Lanka,lost,7 wickets,31,lost,1st,India,Guwahati,22-Dec-97
Sri Lanka,won,5 wickets,10,lost,2nd,India,Margao,28-Dec-97
India,lost,5 wickets,10,won,1st,Sri Lanka,Margao,28-Dec-97
South Africa,won,2 runs,0,won,1st,New Zealand,Brisbane,9-Jan-98
New Zealand,lost,2 runs,0,lost,2nd,South Africa,Brisbane,9-Jan-98
South Africa,won,5 wickets,15,lost,2nd,Australia,Brisbane,11-Jan-98
Australia,lost,5 wickets,15,won,1st,South Africa,Brisbane,11-Jan-98
India,won,18 runs,0,lost,1st,Pakistan,Dhaka,11-Jan-98
